sample_id,repeat,fold,split_name,is_train
0,1,1,random_5x5_smoke,True
1,1,1,random_5x5_smoke,True
2,1,1,random_5x5_smoke,True
3,1,1,random_5x5_smoke,True
4,1,1,random_5x5_smoke,True
7,1,1,random_5x5_smoke,True
8,1,1,random_5x5_smoke,True
11,1,1,random_5x5_smoke,True
12,1,1,random_5x5_smoke,True
13,1,1,random_5x5_smoke,True
15,1,1,random_5x5_smoke,True
18,1,1,random_5x5_smoke,True
19,1,1,random_5x5_smoke,True
20,1,1,random_5x5_smoke,True
21,1,1,random_5x5_smoke,True
22,1,1,random_5x5_smoke,True
24,1,1,random_5x5_smoke,True
25,1,1,random_5x5_smoke,True
26,1,1,random_5x5_smoke,True
27,1,1,random_5x5_smoke,True
28,1,1,random_5x5_smoke,True
31,1,1,random_5x5_smoke,True
32,1,1,random_5x5_smoke,True
33,1,1,random_5x5_smoke,True
34,1,1,random_5x5_smoke,True
35,1,1,random_5x5_smoke,True
36,1,1,random_5x5_smoke,True
37,1,1,random_5x5_smoke,True
38,1,1,random_5x5_smoke,True
39,1,1,random_5x5_smoke,True
40,1,1,random_5x5_smoke,True
42,1,1,random_5x5_smoke,True
43,1,1,random_5x5_smoke,True
44,1,1,random_5x5_smoke,True
45,1,1,random_5x5_smoke,True
46,1,1,random_5x5_smoke,True
47,1,1,random_5x5_smoke,True
49,1,1,random_5x5_smoke,True
51,1,1,random_5x5_smoke,True
52,1,1,random_5x5_smoke,True
53,1,1,random_5x5_smoke,True
54,1,1,random_5x5_smoke,True
56,1,1,random_5x5_smoke,True
58,1,1,random_5x5_smoke,True
59,1,1,random_5x5_smoke,True
60,1,1,random_5x5_smoke,True
61,1,1,random_5x5_smoke,True
62,1,1,random_5x5_smoke,True
63,1,1,random_5x5_smoke,True
64,1,1,random_5x5_smoke,True
65,1,1,random_5x5_smoke,True
66,1,1,random_5x5_smoke,True
67,1,1,random_5x5_smoke,True
68,1,1,random_5x5_smoke,True
70,1,1,random_5x5_smoke,True
71,1,1,random_5x5_smoke,True
72,1,1,random_5x5_smoke,True
74,1,1,random_5x5_smoke,True
75,1,1,random_5x5_smoke,True
77,1,1,random_5x5_smoke,True
78,1,1,random_5x5_smoke,True
79,1,1,random_5x5_smoke,True
80,1,1,random_5x5_smoke,True
81,1,1,random_5x5_smoke,True
82,1,1,random_5x5_smoke,True
83,1,1,random_5x5_smoke,True
84,1,1,random_5x5_smoke,True
85,1,1,random_5x5_smoke,True
86,1,1,random_5x5_smoke,True
87,1,1,random_5x5_smoke,True
88,1,1,random_5x5_smoke,True
89,1,1,random_5x5_smoke,True
91,1,1,random_5x5_smoke,True
92,1,1,random_5x5_smoke,True
93,1,1,random_5x5_smoke,True
94,1,1,random_5x5_smoke,True
96,1,1,random_5x5_smoke,True
97,1,1,random_5x5_smoke,True
99,1,1,random_5x5_smoke,True
100,1,1,random_5x5_smoke,True
101,1,1,random_5x5_smoke,True
102,1,1,random_5x5_smoke,True
103,1,1,random_5x5_smoke,True
104,1,1,random_5x5_smoke,True
105,1,1,random_5x5_smoke,True
106,1,1,random_5x5_smoke,True
109,1,1,random_5x5_smoke,True
110,1,1,random_5x5_smoke,True
111,1,1,random_5x5_smoke,True
112,1,1,random_5x5_smoke,True
113,1,1,random_5x5_smoke,True
114,1,1,random_5x5_smoke,True
116,1,1,random_5x5_smoke,True
117,1,1,random_5x5_smoke,True
118,1,1,random_5x5_smoke,True
119,1,1,random_5x5_smoke,True
120,1,1,random_5x5_smoke,True
121,1,1,random_5x5_smoke,True
122,1,1,random_5x5_smoke,True
124,1,1,random_5x5_smoke,True
127,1,1,random_5x5_smoke,True
128,1,1,random_5x5_smoke,True
129,1,1,random_5x5_smoke,True
130,1,1,random_5x5_smoke,True
131,1,1,random_5x5_smoke,True
132,1,1,random_5x5_smoke,True
133,1,1,random_5x5_smoke,True
135,1,1,random_5x5_smoke,True
136,1,1,random_5x5_smoke,True
138,1,1,random_5x5_smoke,True
139,1,1,random_5x5_smoke,True
140,1,1,random_5x5_smoke,True
141,1,1,random_5x5_smoke,True
142,1,1,random_5x5_smoke,True
143,1,1,random_5x5_smoke,True
144,1,1,random_5x5_smoke,True
145,1,1,random_5x5_smoke,True
146,1,1,random_5x5_smoke,True
148,1,1,random_5x5_smoke,True
149,1,1,random_5x5_smoke,True
150,1,1,random_5x5_smoke,True
151,1,1,random_5x5_smoke,True
153,1,1,random_5x5_smoke,True
156,1,1,random_5x5_smoke,True
157,1,1,random_5x5_smoke,True
159,1,1,random_5x5_smoke,True
160,1,1,random_5x5_smoke,True
161,1,1,random_5x5_smoke,True
162,1,1,random_5x5_smoke,True
164,1,1,random_5x5_smoke,True
165,1,1,random_5x5_smoke,True
167,1,1,random_5x5_smoke,True
168,1,1,random_5x5_smoke,True
169,1,1,random_5x5_smoke,True
171,1,1,random_5x5_smoke,True
173,1,1,random_5x5_smoke,True
174,1,1,random_5x5_smoke,True
176,1,1,random_5x5_smoke,True
177,1,1,random_5x5_smoke,True
178,1,1,random_5x5_smoke,True
180,1,1,random_5x5_smoke,True
181,1,1,random_5x5_smoke,True
182,1,1,random_5x5_smoke,True
183,1,1,random_5x5_smoke,True
184,1,1,random_5x5_smoke,True
185,1,1,random_5x5_smoke,True
187,1,1,random_5x5_smoke,True
188,1,1,random_5x5_smoke,True
192,1,1,random_5x5_smoke,True
193,1,1,random_5x5_smoke,True
194,1,1,random_5x5_smoke,True
195,1,1,random_5x5_smoke,True
196,1,1,random_5x5_smoke,True
197,1,1,random_5x5_smoke,True
198,1,1,random_5x5_smoke,True
199,1,1,random_5x5_smoke,True
200,1,1,random_5x5_smoke,True
201,1,1,random_5x5_smoke,True
202,1,1,random_5x5_smoke,True
203,1,1,random_5x5_smoke,True
204,1,1,random_5x5_smoke,True
205,1,1,random_5x5_smoke,True
207,1,1,random_5x5_smoke,True
208,1,1,random_5x5_smoke,True
209,1,1,random_5x5_smoke,True
211,1,1,random_5x5_smoke,True
214,1,1,random_5x5_smoke,True
215,1,1,random_5x5_smoke,True
216,1,1,random_5x5_smoke,True
217,1,1,random_5x5_smoke,True
218,1,1,random_5x5_smoke,True
219,1,1,random_5x5_smoke,True
220,1,1,random_5x5_smoke,True
221,1,1,random_5x5_smoke,True
222,1,1,random_5x5_smoke,True
223,1,1,random_5x5_smoke,True
224,1,1,random_5x5_smoke,True
225,1,1,random_5x5_smoke,True
226,1,1,random_5x5_smoke,True
227,1,1,random_5x5_smoke,True
228,1,1,random_5x5_smoke,True
229,1,1,random_5x5_smoke,True
231,1,1,random_5x5_smoke,True
232,1,1,random_5x5_smoke,True
234,1,1,random_5x5_smoke,True
235,1,1,random_5x5_smoke,True
236,1,1,random_5x5_smoke,True
237,1,1,random_5x5_smoke,True
238,1,1,random_5x5_smoke,True
239,1,1,random_5x5_smoke,True
240,1,1,random_5x5_smoke,True
241,1,1,random_5x5_smoke,True
244,1,1,random_5x5_smoke,True
246,1,1,random_5x5_smoke,True
247,1,1,random_5x5_smoke,True
249,1,1,random_5x5_smoke,True
250,1,1,random_5x5_smoke,True
251,1,1,random_5x5_smoke,True
252,1,1,random_5x5_smoke,True
253,1,1,random_5x5_smoke,True
254,1,1,random_5x5_smoke,True
255,1,1,random_5x5_smoke,True
256,1,1,random_5x5_smoke,True
257,1,1,random_5x5_smoke,True
258,1,1,random_5x5_smoke,True
259,1,1,random_5x5_smoke,True
261,1,1,random_5x5_smoke,True
262,1,1,random_5x5_smoke,True
263,1,1,random_5x5_smoke,True
264,1,1,random_5x5_smoke,True
265,1,1,random_5x5_smoke,True
266,1,1,random_5x5_smoke,True
267,1,1,random_5x5_smoke,True
268,1,1,random_5x5_smoke,True
269,1,1,random_5x5_smoke,True
270,1,1,random_5x5_smoke,True
271,1,1,random_5x5_smoke,True
