paper_target_id,dataset,source_dataset,descriptor,model,split,metric,paper_value,paper_std,explanation,relative_json_path,reproduced_value,local_descriptor_name,local_model_name,local_folds,local_feature_dim,abs_diff,rel_diff,status
official_yieldsmarter_compare_complexity_rf,BH,BH1,MFP,RF,5x5_repeated_cv,kendall_tau,0.8484259715085937,0.0089334431127539,Target extracted from local official yieldsmarter RF summary JSON; local benchmark rerun has not yet been merged into this row.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_metrics_summaries_RF.json,,,,,,,,official_target_extracted_pending_local_rerun
official_yieldsmarter_compare_complexity_rf,BH,BH1,MFP,RF,5x5_repeated_cv,mae,4.531535492347868,0.2144479354821037,Target extracted from local official yieldsmarter RF summary JSON; local benchmark rerun has not yet been merged into this row.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_metrics_summaries_RF.json,,,,,,,,official_target_extracted_pending_local_rerun
official_yieldsmarter_compare_complexity_rf,BH,BH1,MFP,RF,5x5_repeated_cv,r2,0.9364555872923422,0.0095676258186115,Target extracted from local official yieldsmarter RF summary JSON; local benchmark rerun has not yet been merged into this row.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_metrics_summaries_RF.json,,,,,,,,official_target_extracted_pending_local_rerun
official_yieldsmarter_compare_complexity_rf,BH,BH1,MFP,RF,5x5_repeated_cv,rmse,6.851955627322502,0.4753515696276819,Target extracted from local official yieldsmarter RF summary JSON; local benchmark rerun has not yet been merged into this row.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_metrics_summaries_RF.json,,,,,,,,official_target_extracted_pending_local_rerun
official_yieldsmarter_compare_complexity_rf,BH,BH1,OHE,RF,5x5_repeated_cv,kendall_tau,0.7952110389388872,0.0109041461378939,Local compatible benchmark merged against official target. This is not guaranteed bit-identical to the official code path unless descriptor/model settings are audited separately.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_metrics_summaries_RF.json,0.7950973158372747,ohe,rf,25.0,44.0,0.0001137231016125062,0.00014300996344851537,local_compatible_rerun_compared
official_yieldsmarter_compare_complexity_rf,BH,BH1,OHE,RF,5x5_repeated_cv,mae,6.43266540035404,0.2945222828236702,Local compatible benchmark merged against official target. This is not guaranteed bit-identical to the official code path unless descriptor/model settings are audited separately.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_metrics_summaries_RF.json,6.4349265080668365,ohe,rf,25.0,44.0,0.0022611077127967505,0.0003515040145990345,local_compatible_rerun_compared
official_yieldsmarter_compare_complexity_rf,BH,BH1,OHE,RF,5x5_repeated_cv,r2,0.8831276621985755,0.0132260174298114,Local compatible benchmark merged against official target. This is not guaranteed bit-identical to the official code path unless descriptor/model settings are audited separately.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_metrics_summaries_RF.json,0.8829680158424921,ohe,rf,25.0,44.0,0.0001596463560834538,0.0001807738143837652,local_compatible_rerun_compared
official_yieldsmarter_compare_complexity_rf,BH,BH1,OHE,RF,5x5_repeated_cv,rmse,9.303579610678112,0.4748886228087751,Local compatible benchmark merged against official target. This is not guaranteed bit-identical to the official code path unless descriptor/model settings are audited separately.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_metrics_summaries_RF.json,9.31048114148676,ohe,rf,25.0,44.0,0.006901530808647749,0.000741814559282813,local_compatible_rerun_compared
official_yieldsmarter_compare_complexity_rf,BH,BH1,PhysChem,RF,5x5_repeated_cv,kendall_tau,0.8108863707524345,0.01077580291252,Local compatible benchmark merged against official target. This is not guaranteed bit-identical to the official code path unless descriptor/model settings are audited separately.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/PhysChem/Doyle_PhysChem_metrics_summaries_RF.json,0.8108863707524345,PhysChem,rf,25.0,15.0,0.0,0.0,local_compatible_rerun_compared
official_yieldsmarter_compare_complexity_rf,BH,BH1,PhysChem,RF,5x5_repeated_cv,mae,6.044628226709067,0.284425178857055,Local compatible benchmark merged against official target. This is not guaranteed bit-identical to the official code path unless descriptor/model settings are audited separately.,yieldsmarter/Results/Compare_Complexity/Doyle_2018/PhysChem/Doyle_PhysChem_metrics_summaries_RF.json,6.044628226709068,PhysChem,rf,25.0,15.0,8.881784197001252e-16,1.4693681503447639e-16,local_compatible_rerun_compared
